AeroDyn airfoil file Created with QBlade v0.9 64bit on 10.07.2015 at 14:53:47 Compatible with AeroDyn v13.0.
Polar "NACA 0018_Imported_Polar 360 M" on Foil "NACA 0018_Imported_Polar" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.25873        Cn slope for zero lift for linear Cn curve (1/rad)
1.1476         Cn at stall value for positive angle of attack for linear Cn curve
-1.0842        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0071         Minimum CD value
      2.00    0.2184    0.0073
      2.50    0.2727    0.0074
      3.00    0.3269    0.0075
      3.50    0.3807    0.0077
      4.00    0.4339    0.0079
      4.50    0.4870    0.0081
      5.00    0.5396    0.0084
      5.50    0.5916    0.0087
      6.00    0.6428    0.0091
      6.50    0.6930    0.0095
      7.00    0.7413    0.0100
      7.50    0.7910    0.0105
      8.00    0.8461    0.0111
      8.50    0.9032    0.0118
      9.00    0.9714    0.0125
      9.50    1.0352    0.0133
     10.00    1.0988    0.0141
     10.50    1.1644    0.0148
     11.00    1.2097    0.0157
     11.50    1.2017    0.0161
     12.00    1.2195    0.0168
     12.50    1.2443    0.0178
     13.00    1.2692    0.0192
     13.50    1.3016    0.0204
     14.00    1.3281    0.0220
     14.50    1.3482    0.0243
     15.00    1.3658    0.0269
     15.50    1.3897    0.0293
     16.00    1.4084    0.0322
     16.50    1.4202    0.0360
     17.00    1.4249    0.0407
     17.50    1.4183    0.0470
     18.00    1.3957    0.0554
     18.50    1.3896    0.0623
     19.00    1.3824    0.0695
     19.50    1.3687    0.0776
     20.00    1.3526    0.0863
     21.00    1.3116    0.1295
     22.00    1.2704    0.1528
     23.00    1.2294    0.1774
     24.00    1.1903    0.2031
     25.00    1.1541    0.2296
     26.00    1.1214    0.2568
     27.00    1.0925    0.2846
     28.00    1.0672    0.3127
     29.00    1.0453    0.3412
     30.00    1.0267    0.3700
     31.00    1.0109    0.3991
     32.00    0.9977    0.4284
     33.00    0.9865    0.4579
     34.00    0.9773    0.4876
     35.00    0.9695    0.5174
     36.00    0.9630    0.5474
     37.00    0.9576    0.5775
     38.00    0.9529    0.6077
     39.00    0.9488    0.6380
     40.00    0.9451    0.6684
     41.00    0.9417    0.6988
     42.00    0.9384    0.7293
     43.00    0.9351    0.7597
     44.00    0.9318    0.7901
     45.00    0.9282    0.8204
     46.00    0.9244    0.8507
     47.00    0.9202    0.8808
     48.00    0.9157    0.9108
     49.00    0.9106    0.9406
     50.00    0.9051    0.9702
     51.00    0.8990    0.9996
     52.00    0.8923    1.0287
     53.00    0.8850    1.0576
     54.00    0.8771    1.0861
     55.00    0.8685    1.1142
     56.00    0.8592    1.1420
     57.00    0.8492    1.1694
     58.00    0.8385    1.1963
     59.00    0.8271    1.2227
     60.00    0.8149    1.2486
     61.00    0.8020    1.2740
     62.00    0.7883    1.2988
     63.00    0.7739    1.3231
     64.00    0.7588    1.3467
     65.00    0.7429    1.3697
     66.00    0.7263    1.3920
     67.00    0.7090    1.4136
     68.00    0.6909    1.4345
     69.00    0.6721    1.4546
     70.00    0.6527    1.4740
     71.00    0.6325    1.4926
     72.00    0.6117    1.5103
     73.00    0.5902    1.5273
     74.00    0.5681    1.5433
     75.00    0.5454    1.5585
     76.00    0.5221    1.5728
     77.00    0.4982    1.5863
     78.00    0.4737    1.5987
     79.00    0.4488    1.6103
     80.00    0.4233    1.6209
     81.00    0.3973    1.6305
     82.00    0.3708    1.6392
     83.00    0.3440    1.6469
     84.00    0.3167    1.6535
     85.00    0.2891    1.6592
     86.00    0.2611    1.6639
     87.00    0.2328    1.6676
     88.00    0.2042    1.6702
     89.00    0.1754    1.6719
     90.00    0.1463    1.6725
     91.00    0.1171    1.6721
     92.00    0.0877    1.6706
     93.00    0.0582    1.6682
     94.00    0.0286    1.6647
     95.00   -0.0011    1.6602
     96.00   -0.0307    1.6548
     97.00   -0.0604    1.6483
     98.00   -0.0899    1.6408
     99.00   -0.1194    1.6324
    100.00   -0.1488    1.6230
    101.00   -0.1779    1.6126
    102.00   -0.2069    1.6013
    103.00   -0.2356    1.5890
    104.00   -0.2641    1.5758
    105.00   -0.2922    1.5618
    106.00   -0.3200    1.5468
    107.00   -0.3474    1.5310
    108.00   -0.3743    1.5144
    109.00   -0.4008    1.4969
    110.00   -0.4269    1.4786
    111.00   -0.4523    1.4595
    112.00   -0.4772    1.4397
    113.00   -0.5090    1.4192
    114.00   -0.5325    1.3979
    115.00   -0.5554    1.3760
    116.00   -0.5776    1.3534
    117.00   -0.5990    1.3301
    118.00   -0.6197    1.3063
    119.00   -0.6397    1.2819
    120.00   -0.6588    1.2570
    121.00   -0.6770    1.2315
    122.00   -0.6944    1.2056
    123.00   -0.7109    1.1792
    124.00   -0.7265    1.1525
    125.00   -0.7411    1.1253
    126.00   -0.7548    1.0978
    127.00   -0.7675    1.0699
    128.00   -0.7791    1.0418
    129.00   -0.7898    1.0135
    130.00   -0.7994    0.9849
    131.00   -0.8079    0.9562
    132.00   -0.8154    0.9273
    133.00   -0.8218    0.8983
    134.00   -0.8271    0.8692
    135.00   -0.8312    0.8401
    136.00   -0.8343    0.8110
    137.00   -0.8362    0.7819
    138.00   -0.8371    0.7529
    139.00   -0.8368    0.7240
    140.00   -0.8353    0.6953
    141.00   -0.8327    0.6667
    142.00   -0.8290    0.6383
    143.00   -0.8242    0.6102
    144.00   -0.8183    0.5824
    145.00   -0.8113    0.5549
    146.00   -0.8032    0.5277
    147.00   -0.7940    0.5009
    148.00   -0.7837    0.4745
    149.00   -0.7724    0.4486
    150.00   -0.7601    0.4231
    151.00   -0.7467    0.3981
    152.00   -0.7325    0.3737
    153.00   -0.7172    0.3499
    154.00   -0.7011    0.3266
    155.00   -0.6841    0.3040
    156.00   -0.6662    0.2820
    157.00   -0.6476    0.2607
    158.00   -0.6283    0.2401
    159.00   -0.6084    0.2203
    160.00   -0.5878    0.2012
    161.00   -0.5668    0.1828
    162.00   -0.5454    0.1653
    163.00   -0.5238    0.1486
    164.00   -0.5021    0.1328
    165.00   -0.4805    0.1178
    166.00   -0.4591    0.1037
    167.00   -0.4384    0.0904
    168.00   -0.4186    0.0781
    169.00   -0.4000    0.0667
    170.00   -0.3831    0.0563
    171.00   -0.3680    0.0468
    172.00   -0.3546    0.0383
    173.00   -0.3421    0.0308
    174.00   -0.3281    0.0242
    175.00   -0.3083    0.0187
    176.00   -0.2768    0.0141
    177.00   -0.2288    0.0106
    178.00   -0.1635    0.0080
    179.00   -0.0851    0.0065
    180.00   -0.0000    0.0060
    180.00   -0.0000    0.0060
